"","x"
"100_g_at",0.00185599471967102
"1000_at",-0.0472914992501101
"1001_at",0.0626311251449281
"1002_f_at",0.0261219060466074
"1003_s_at",0.00734532102236041
"1004_at",0.00873763451722942
"1005_at",-0.0929324308629831
"1006_at",0.0898947745044216
"1007_s_at",-0.0566376164048781
"1008_f_at",-0.038314874325136
"1009_at",0.00900494877633129
"101_at",-0.00134184689910977
"1010_at",0.0243567760664101
"1011_s_at",-0.055067576829241
"1012_at",-0.0170842843488541
"1013_at",-0.0546689972476078
"1014_at",0.00196031819146514
"1015_s_at",0.0122926905670806
"1016_s_at",0.0717855704774044
"1017_at",0.0731137086434102
"1018_at",-0.00423748144733871
"1019_g_at",-0.000817871792528013
"102_at",0.00573879769066177
"1020_s_at",0.0340457851375184
"1021_at",0.0700061727090717
"1022_f_at",0.0426166488485185
"1023_at",-0.0012612143921682
"1024_at",0.0199648549422218
"1025_g_at",-0.0426063533332313
"1026_s_at",-0.00111746489557341
"1027_at",0.0221327675481995
"1028_at",0.00319953442745735
"1029_s_at",0.0754673526704415
"103_at",0.0136834816585703
"1030_s_at",-0.00159055550067944
"1031_at",0.103387828328831
"1032_at",-0.0126487799548993
"1033_g_at",0.021238001612649
"1034_at",-0.128721505162409
"1035_g_at",-0.128935263874843
"1036_at",-0.0978466369120802
"1037_at",0.000239981480403051
"1038_s_at",-0.0997952750319875
"1039_s_at",-0.338701421243264
"104_at",0.0243295158083907
"1040_s_at",-0.0565866417576877
"1041_at",0.00780215526174244
"1042_at",-0.0169867066893792
"1043_s_at",-0.0018272154169956
"1044_s_at",-0.0177294064383811
"1045_s_at",-0.0214287902175618
"1046_at",-0.0264304471938024
"1047_s_at",-0.137150190467995
"1048_at",0.0441569640479187
"1049_g_at",-0.00605490662126695
"105_at",0.0466793562099939
"1050_at",-0.196472392465888
"1051_g_at",-0.0900589354005867
"1052_s_at",-0.251288601489723
"1053_at",0.0936014919788515
"1054_at",0.0910789177031308
"1055_g_at",0.105295949536794
"1056_s_at",0.0619176874803733
"1057_at",-0.214260796141056
"1058_at",-0.0733062463119936
"1059_at",0.0317222723980515
"106_at",-0.0487133740913692
"1060_g_at",0.0223624152896762
"1061_at",0.00234903381254492
"1062_g_at",0.0259506025278804
"1063_s_at",0.00856562429573104
"1064_at",-0.310979138384204
"1065_at",0.0451804106992071
"1066_at",0.0298913778731769
"1067_at",0.0180978904057612
"1068_g_at",0.00669606942865331
"1069_at",-0.18136715337591
"107_at",0.00765726537304934
"1070_at",0.037083569354678
"1071_at",0.0688158180821772
"1072_g_at",0.0992980548997116
"1073_at",0.054330379675914
"1074_at",0.00353440868975108
"1075_f_at",0.0343414665138255
"1076_at",0.157617829187348
"1077_at",-0.0286023115713301
"1078_at",0.00782524859805767
"1079_g_at",-0.0182604169363081
"108_g_at",0.00398078253847078
"1080_s_at",0.0397242587307998
"1081_at",0.0673342827477024
"1082_at",-0.019230593461216
"1083_s_at",-0.0228866291312095
"1084_at",0.0246168791464283
"1085_s_at",-0.0224873922698687
"1086_at",0.00868579950912696
"1087_at",0.0865431012833395
"1088_at",-0.0971282351799747
"1089_i_at",0.0334477892156138
"109_at",0.0783302470121816
"1090_f_at",0.112054336395349
"1091_at",-0.000993749210709272
"1092_at",-0.0042599493051112
"1093_at",0.0531042221450972
"1094_g_at",0.00381043374188383
"1095_s_at",-0.0914635019363804
"1096_g_at",0.0292033826499363
"1097_s_at",0.0136005240254737
"1098_at",0.0204180759279875
"1099_s_at",-0.0755776997086093
"110_at",-0.0234083061475796
"1100_at",0.07137651017345
"1101_at",-0.0300770444653586
"1102_s_at",-0.0806880275274566
"1103_at",-0.214257892619963
"1104_s_at",0.170771732199914
"1105_s_at",-0.373133568613037
"1106_s_at",-0.00570683537174643
"1107_s_at",-0.00094978283025382
"1108_s_at",-0.0389566765777187
"1109_s_at",-0.000713353465829014
"111_at",0.0195131549508429
"1110_at",0.0295413421719304
